1596889188.263035946 [7.236513,92.898468,1.000000,4.297311]	 [8.467621,86.269844,1.000000,10.603521]	 [10.335090,87.834198,1.027364,8.414845]	 [7.746393,91.827171,1.000000,5.251975]	
1596889189.286810644 [10.500680,90.609001,1.000000,5.696585]	 [11.038431,87.424431,1.000000,8.417071]	 [10.204965,91.435890,1.000000,4.835917]	 [7.841521,88.351295,1.000000,8.519296]	
1596889190.312080487 [6.541309,83.649185,1.519096,12.363081]	 [5.872787,92.688339,1.000000,4.174277]	 [5.136687,85.810204,1.145428,10.923195]	 [6.041296,89.326408,1.000000,6.741107]	
1596889191.336475755 [7.479992,90.300705,1.000000,6.783120]	 [8.939073,87.085175,1.000000,9.514158]	 [10.171329,90.493492,1.000000,5.764700]	 [5.983469,87.711159,1.000000,9.704837]	
1596889192.359730159 [9.645226,87.160751,1.000000,9.289599]	 [7.174103,85.998848,1.000000,11.057219]	 [11.149026,82.942627,1.000000,13.143578]	 [9.747840,88.424774,1.000000,7.865517]	
1596889193.382511194 [10.980916,89.127975,1.000000,6.570710]	 [9.008331,83.179802,1.000000,13.495711]	 [13.219881,89.135201,1.000000,6.341714]	 [7.381793,88.171448,1.000000,8.865910]	
1596889194.406718070 [14.759564,88.593819,1.000000,6.441841]	 [10.574753,87.142509,1.000000,9.062521]	 [7.045884,87.950729,1.000000,9.047867]	 [7.380729,87.590744,1.000000,9.438319]	
1596889195.430470254 [9.515378,87.190125,1.000000,8.464315]	 [10.257814,80.127831,1.000000,14.120209]	 [6.485303,89.670784,1.000000,7.427714]	 [7.399242,83.854080,1.000000,12.899277]	
1596889196.454690751 [10.737811,87.226524,1.000000,8.897667]	 [8.550750,85.459084,1.000000,11.154312]	 [12.669961,88.286880,1.000000,6.907099]	 [6.268008,87.923096,1.000000,8.938761]	
1596889197.478809893 [11.639951,87.309418,1.000000,8.564837]	 [10.112515,87.882141,1.000000,8.509892]	 [15.831497,88.343269,1.000000,6.391982]	 [5.660340,89.429214,1.000000,8.114098]	
1596889198.503532912 [11.714279,88.095512,1.000000,7.351568]	 [9.767120,84.636169,1.000000,11.736945]	 [6.718896,88.549240,1.000000,8.714808]	 [6.956159,90.694450,1.000000,6.302512]	
1596889199.527542056 [6.629501,91.381317,1.000000,5.826884]	 [7.353690,88.688881,1.000000,8.400954]	 [10.887931,87.062256,1.000000,9.165804]	 [8.064314,91.507912,1.000000,5.363664]	
1596889200.552227208 [9.283804,89.131721,1.000000,7.412717]	 [9.745502,87.219261,1.000000,9.143600]	 [15.068267,85.391327,1.000000,8.862390]	 [8.176334,91.801216,1.000000,4.875941]	
1596889201.578213236 [7.926517,88.506264,1.000000,8.607299]	 [8.415039,85.818932,1.000000,11.148660]	 [6.617093,90.090034,1.000000,7.338668]	 [9.689034,89.040169,1.000000,7.584529]	
1596889202.602111182 [13.321864,89.350250,1.000000,5.042369]	 [6.269954,83.709473,1.000000,13.453074]	 [9.293072,86.894012,1.000000,9.539219]	 [10.383932,90.387115,1.000000,5.649703]	
1596889203.625918759 [8.609880,90.749588,1.000000,6.004259]	 [8.800162,85.095589,1.000000,11.486846]	 [12.956567,89.159912,1.000000,6.175187]	 [8.555590,89.723412,1.000000,7.016899]	
1596889204.649182101 [8.954556,86.664757,1.000000,10.003356]	 [7.313453,83.636383,1.000000,13.379887]	 [7.325434,92.395721,1.000000,4.787553]	 [7.442029,92.046013,1.000000,5.024806]	
1596889205.672611166 [7.309379,90.259659,1.000000,6.101058]	 [7.241628,84.406120,1.000000,11.765397]	 [14.598679,86.861641,1.000000,5.364707]	 [7.523698,88.081863,1.000000,8.354287]	
1596889206.696721032 [8.050101,90.972710,1.000000,5.557161]	 [7.391330,87.184212,1.000000,9.935710]	 [11.826687,91.422508,1.000000,4.247021]	 [7.180876,89.925049,1.000000,7.220877]	
1596889207.721599252 [11.797787,86.607521,1.000000,7.703023]	 [7.534120,86.662064,1.000000,10.212647]	 [13.567379,87.022514,1.000000,8.200969]	 [7.698458,87.791603,1.000000,9.078639]	
1596889208.745694432 [10.022847,86.621841,1.000000,8.769274]	 [10.274688,86.439743,1.000000,9.903076]	 [6.537863,85.996399,1.000000,11.143162]	 [7.976323,86.141182,1.000000,10.618233]	
1596889209.769974595 [6.941160,87.665459,1.000000,9.476662]	 [9.734069,84.167679,1.000000,12.431639]	 [11.733292,89.502052,1.000000,6.417465]	 [11.055580,83.109367,1.000000,13.154621]	
1596889210.793452917 [11.544660,89.790634,1.000000,6.396758]	 [10.077584,87.626221,1.000000,8.900932]	 [11.271596,89.429291,1.000000,6.628603]	 [7.728402,89.507935,1.000000,7.561142]	
1596889211.817359152 [6.313239,87.602577,1.000000,8.932900]	 [6.284580,83.589066,1.000000,13.018120]	 [9.687674,84.359512,1.000000,10.335041]	 [13.178802,87.386497,1.000000,5.529619]	
1596889212.843231907 [8.497601,93.364281,1.000000,3.641139]	 [9.208355,86.848236,1.000000,9.990236]	 [5.905626,85.971359,1.000000,11.642739]	 [5.333894,93.154327,1.000000,4.593948]	
1596889213.867412022 [5.562497,91.563942,1.000000,6.003698]	 [9.918353,85.616730,1.000000,10.971619]	 [8.714763,90.341599,1.000000,6.286520]	 [6.376016,90.997536,1.000000,6.378736]	
1596889214.891722450 [8.799318,88.495605,1.000000,7.979914]	 [8.185555,84.904572,1.000000,11.628514]	 [16.296064,83.345726,1.000000,9.804010]	 [10.187284,89.272865,1.000000,6.632607]	
1596889215.916024214 [9.020631,90.630600,1.000000,6.058174]	 [8.297443,90.400208,1.000000,6.369960]	 [6.662419,88.298042,1.000000,8.958673]	 [10.698182,88.411598,1.000000,7.684356]	
1596889216.939715475 [11.763236,89.354645,1.000000,6.196067]	 [8.646191,89.352211,1.000000,7.455291]	 [7.898953,88.226357,1.000000,8.763309]	 [9.228428,91.080643,1.000000,5.405517]	
1596889217.962220646 [11.968729,89.607796,1.000000,6.312476]	 [12.310973,86.883430,1.000000,8.521210]	 [8.541968,82.611916,1.000000,14.063000]	 [8.493302,90.114120,1.000000,6.431048]	
1596889218.984724230 [10.904627,83.211830,1.076175,10.882421]	 [12.738025,82.195038,1.984977,10.151170]	 [9.154900,80.366196,1.000000,14.334641]	 [30.165522,69.676636,1.000000,6.578930]	
1596889220.008163653 [14.319592,84.334496,1.000000,10.613578]	 [13.689374,85.746986,1.000000,8.898243]	 [11.985445,82.888680,1.000000,12.055841]	 [8.060480,87.021255,1.000000,9.420301]	
1596889221.032914212 [8.559575,88.416740,1.000000,7.217652]	 [6.623472,89.584328,1.000000,7.540868]	 [10.790339,84.127289,1.000000,11.051290]	 [6.305702,92.205093,1.000000,5.033514]	
1596889222.056266968 [9.443734,85.700874,1.000000,10.372945]	 [10.329647,86.471642,1.000000,9.292133]	 [11.116815,81.628731,1.000000,13.908802]	 [16.630934,84.855774,1.000000,9.348011]	
